angle,label,score
0,Drawing,0.911676287651062
0,Horse,0.903384268283844
0,Head,0.8901773691177368
0,Sketch,0.8437027931213379
0,Art,0.7478176951408386
0,Fictional character,0.6729325652122498
0,Illustration,0.6688148975372314
0,Mane,0.6673234701156616
0,Stallion,0.6494641900062561
0,Modern art,0.6086732149124146
1,Horse,0.9491533637046814
1,Drawing,0.941653311252594
1,Head,0.8984001874923706
1,Sketch,0.8879837393760681
1,Mane,0.7915138602256775
1,Stallion,0.7444605231285095
1,Illustration,0.7095673680305481
1,Art,0.6946530342102051
1,Mustang horse,0.6796332597732544
1,Modern art,0.644550085067749
2,Horse,0.9505910277366638
2,Drawing,0.9282562136650085
2,Head,0.9096837043762207
2,Sketch,0.873466432094574
2,Mane,0.8172611594200134
2,Stallion,0.7328007817268372
2,Mustang horse,0.721219539642334
2,Illustration,0.6554555892944336
2,Art,0.655128538608551
2,Modern art,0.6379411220550537
3,Horse,0.9419549107551575
3,Drawing,0.9162883758544922
3,Head,0.9080222845077515
3,Sketch,0.8528682589530945
3,Nose,0.8419631719589233
3,Mane,0.7409822940826416
3,Stallion,0.7243291735649109
3,Illustration,0.6806615591049194
3,Mustang horse,0.6693941354751587
3,Art,0.6253476738929749
4,Horse,0.9303457736968994
4,Drawing,0.9288704991340637
4,Head,0.9039563536643982
4,Sketch,0.8912155628204346
4,Mane,0.7367652654647827
4,Stallion,0.7087083458900452
4,Illustration,0.6912711262702942
4,Art,0.6772549152374268
4,Modern art,0.6686608791351318
4,Artwork,0.6493663191795349
5,Horse,0.9477154016494751
5,Drawing,0.9123437404632568
5,Head,0.9061321020126343
5,Sketch,0.86643385887146
5,Mane,0.7703628540039062
5,Stallion,0.7394893169403076
5,Mustang horse,0.698948085308075
5,Illustration,0.6806615591049194
5,Art,0.655128538608551
5,Mare,0.6390285491943359
6,Head,0.8947408199310303
6,Drawing,0.8609514236450195
6,Sketch,0.7996058464050293
6,Horse,0.7957040071487427
6,Illustration,0.6912711262702942
6,Art,0.655128538608551
6,Stallion,0.6016049981117249
6,Modern art,0.5639094710350037
6,Mane,0.5500280857086182
6,Mustang horse,0.538050651550293
7,Head,0.8984001874923706
7,Drawing,0.871261715888977
7,Sketch,0.8354599475860596
7,Illustration,0.7316700220108032
7,Art,0.7207983136177063
7,Modern art,0.6086732149124146
7,Horse,0.5740323066711426
7,Artwork,0.5433015823364258
8,Head,0.9080222845077515
8,Drawing,0.8945257067680359
8,Horse,0.8592600226402283
8,Sketch,0.8489958047866821
8,Nose,0.8419631719589233
